review_id,rating,text,your_tag
d6d94d3c-f28c-437b-b9ff-462debb2eac1,1,"NO human assistance in support. only chatbot, doesn't matter whether your problem is resolved. I could give negative star if I can",no human support (chatbot only)
208049ba-b719-449a-87ac-c28b0b8b5e0b,1,This app is pathetic. I booked two massage packs and it was a nightmare to get the second one. They cancelled it twice and still haven't received it. They are now offering me a slot after a week while the new one is available tomorrow.,booking/pack cancellation not fulfilled
091d4540-773d-4b4f-8046-78fa106dcf55,1,"worst App , I had booked insta help on this and finished payment. After that all ways the app shows"" something went wrong "" . I lost my money and time. and no one came at booked timings... don't lose money using this app...",booking failed / no-show after payment
d3fd4743-548d-4783-be17-49d00d953d19,2,"great experience, professional guy and did a good job. okay the ac service and washing machine repairs is good as long as you keep an eye on the work done. today I had asked for my double door gasket and magnet replacement. Double door means a fridge with two doors a small one for the freezer and a large door for the fridge. the rate card for replacement under the head double door showed price of 1700 and the technical and the customer care insisted that two doors means amount is 3400. cheats",pricing dispute (rate card mismatch)
26751213-ff3c-4519-935d-3fb615e0f5eb,1,Their motto is Unprofessional services at outrageous price. Support for Native M1 is really poor.,high pricing + poor support
7e772c76-5909-487e-8fc2-e76bcf51e203,1,"most reckless , careless people , who are not bothered about commitments",unreliable / no-show (general)
46560396-9a1b-4075-a134-8d2f84889f5d,1,"UC is a fraud company and with Instahelp. they found a new way to cheat customers, first they push you to buy packs and then stop serving your request. when you decide to cancel the pack to be able to take the regular service, they charge a hefty cancellation charge , that your entire money is taken away. Right now, they don't have helps available and still trying to prove this ad workable model.",cancellation fee dispute (packs)
b23d232f-a389-44c0-aa01-c69b2c90bb5f,1,"when you have a problem with a professional, u can't connect to customer care they will suggest talking to a robot and they will give you a prototype answer .This app is so bad.",no human support (chatbot only)
a395e96b-6560-48a4-9113-3bb893921e5b,1,most worst experience ever they did not work they laughed and clicked unnecessary pictures,poor service quality (unprofessional conduct)
e5b9aae1-3f00-43ab-af1a-5e5694e108b7,1,"I had a very disappointing experience with this app. The spare parts are priced significantly higher than their actual market value, and the overall service charges are excessive. It feels like customers are being overcharged under the guise of service and convenience. Transparency in pricing is essential, but this platform fails to provide fair value for money. I expected honest pricing and reliable service, but instead felt exploited. I cannot recommend this app to others.",pricing dispute (parts overcharging)
25ca8e7d-1463-4ef9-ace3-ab330ca7acd4,1,They stopped the insta help facility in my area,service availability reduced (insta help stopped)
9302c87c-76ca-47ea-91e2-d19b322df3fc,1,horrible service ..native has no way of uplifting customers chats for tech support ..we end up paying for warranty plus for booking via app for the same service ..on top of that really incompetent customer service who can't understand simple things and complicate issues and waste time and money,"poor support (incompetent, no chat option)"
491ed315-4e78-4ac1-8b4a-ec41d56992a7,1,don't buy this company water purifier its totally weast of money showing TDS very High problem not solve,unresolved service issue (purifier)
6fd57ca2-8ff2-4afd-bbbe-3195c0592739,2,app should clearly mention what work can be done inside home and outside home,app clarity suggestion (scope of work)
